Time,CPU Usage (%),RAM Usage (%)
2022-12-08 06:17:15,3.16162109375,33.4
2022-12-08 06:17:45,3.01513671875,33.2
2022-12-08 06:18:15,2.86865234375,33.2
2022-12-08 06:18:45,3.0029296875,33.2
2022-12-08 06:19:15,3.0029296875,33.2
2022-12-08 06:19:45,3.1494140625,33.6
2022-12-08 06:20:15,3.0029296875,33.3
2022-12-08 06:20:45,2.8564453125,33.6
2022-12-08 06:21:15,2.7099609375,33.4
2022-12-08 06:21:45,2.5634765625,33.4
2022-12-08 06:22:15,2.4169921875,33.5
2022-12-08 06:22:45,2.2705078125,33.4
2022-12-08 06:23:15,2.197265625,33.4
2022-12-08 06:23:45,2.1240234375,33.1
2022-12-08 06:24:15,2.197265625,33.3
2022-12-08 06:24:45,2.1240234375,33.2
2022-12-08 06:25:15,2.57568359375,33.3
2022-12-08 06:25:45,2.42919921875,33.3
2022-12-08 06:26:15,2.42919921875,33.8
2022-12-08 06:26:45,2.28271484375,33.7
2022-12-08 06:27:15,2.197265625,33.4
2022-12-08 06:27:45,2.25830078125,33.5
2022-12-08 06:28:15,2.18505859375,33.5
2022-12-08 06:28:45,2.11181640625,33.4
2022-12-08 06:29:15,2.42919921875,33.2
2022-12-08 06:29:45,2.42919921875,33.4
2022-12-08 06:30:15,2.57568359375,33.5
2022-12-08 06:30:45,2.42919921875,33.3
2022-12-08 06:31:15,2.42919921875,33.4
2022-12-08 06:31:45,2.28271484375,33.2
2022-12-08 06:32:15,2.734375,33.8
2022-12-08 06:32:45,2.587890625,33.8
2022-12-08 06:33:15,2.44140625,33.3
2022-12-08 06:33:45,2.294921875,33.4
2022-12-08 06:34:15,2.20947265625,33.3
2022-12-08 06:34:45,2.2705078125,33.4
2022-12-08 06:35:15,2.74658203125,35.2
2022-12-08 06:35:45,2.74658203125,33.4
2022-12-08 06:36:15,2.60009765625,33.6
2022-12-08 06:36:45,2.45361328125,33.4
2022-12-08 06:37:15,2.45361328125,33.5
2022-12-08 06:37:45,2.30712890625,33.4
2022-12-08 06:38:15,5.13916015625,33.9
2022-12-08 06:38:45,5.06591796875,33.8
2022-12-08 06:39:15,4.84619140625,33.6
2022-12-08 06:39:46,4.9072265625,33.4
2022-12-08 06:40:16,4.833984375,33.3
2022-12-08 06:40:46,4.6142578125,33.4
2022-12-08 06:41:16,4.443359375,33.3
2022-12-08 06:41:46,4.296875,33.5
2022-12-08 06:42:16,4.296875,33.5
2022-12-08 06:42:46,4.150390625,33.3
2022-12-08 06:43:16,4.150390625,33.6
2022-12-08 06:43:46,4.00390625,33.5
2022-12-08 06:44:16,4.150390625,34.0
2022-12-08 06:44:46,4.150390625,33.8
2022-12-08 06:45:16,4.150390625,33.7
2022-12-08 06:45:46,4.150390625,33.6
2022-12-08 06:46:16,4.00390625,33.5
2022-12-08 06:46:46,3.857421875,33.5
2022-12-08 06:47:16,3.857421875,33.4
2022-12-08 06:47:46,3.7109375,33.5
2022-12-08 06:48:16,3.564453125,33.5
2022-12-08 06:48:46,3.41796875,33.4
2022-12-08 06:49:16,3.41796875,33.6
2022-12-08 06:49:46,3.271484375,33.5
2022-12-08 06:50:16,4.62646484375,34.0
2022-12-08 06:50:46,4.57763671875,33.9
2022-12-08 06:51:16,4.4189453125,33.4
2022-12-08 06:51:46,4.2724609375,33.6
2022-12-08 06:52:16,4.1259765625,33.4
2022-12-08 06:52:46,3.9794921875,33.6
2022-12-08 06:53:16,3.8330078125,33.5
2022-12-08 06:53:46,3.8330078125,33.5
2022-12-08 06:54:16,3.6865234375,33.4
2022-12-08 06:54:46,3.5400390625,33.4
2022-12-08 06:55:16,3.3935546875,33.6
2022-12-08 06:55:46,3.52783203125,33.5
2022-12-08 06:56:16,4.1015625,33.9
2022-12-08 06:56:46,3.955078125,33.7
2022-12-08 06:57:16,3.80859375,33.5
2022-12-08 06:57:46,3.94287109375,33.4
2022-12-08 06:58:16,3.79638671875,33.5
2022-12-08 06:58:46,3.94287109375,33.7
2022-12-08 06:59:16,3.79638671875,33.5
2022-12-08 06:59:46,3.64990234375,33.6
2022-12-08 07:00:16,3.50341796875,33.5
2022-12-08 07:00:46,3.6376953125,33.4
2022-12-08 07:01:16,3.7841796875,33.4
2022-12-08 07:01:46,3.6376953125,33.4
2022-12-08 07:02:16,4.45556640625,33.9
2022-12-08 07:02:47,4.45556640625,33.8
2022-12-08 07:03:17,4.30908203125,33.6
2022-12-08 07:03:47,4.16259765625,33.6
2022-12-08 07:04:17,4.16259765625,33.7
2022-12-08 07:04:47,4.01611328125,33.4
2022-12-08 07:05:17,3.86962890625,33.6
2022-12-08 07:05:47,3.72314453125,33.6
2022-12-08 07:06:17,3.72314453125,33.5
2022-12-08 07:06:47,3.57666015625,33.8
2022-12-08 07:07:17,3.57666015625,33.6
2022-12-08 07:07:47,3.43017578125,33.4
2022-12-08 07:08:17,3.84521484375,34.0
2022-12-08 07:08:47,3.69873046875,33.9
2022-12-08 07:09:17,3.55224609375,33.8
2022-12-08 07:09:47,3.40576171875,33.7
2022-12-08 07:10:17,3.25927734375,33.6
2022-12-08 07:10:47,3.3935546875,33.4
2022-12-08 07:11:17,3.2470703125,33.4
